CCAA,Falecidos,Contaxios,Poboacion
Andalucía,1375,12547,8414240
Aragón,848,5588,1319291
Asturias,307,2374,1022800
Illas Baleares,221,2024,1149460
Canarias,155,2307,2153389
Cantabria,209,2279,581078
Castela a Mancha,2919,16789,2399548
Castela León,1960,18627,2032863
Catalunya,6021,55888,7675217
Valencia,1383,10987,5003769
Extremadura,505,3042,1067710
Galicia,608,9077,2699499
Madrid,8931,67049,6663394
Murcia,149,1570,1493898
Navarra,506,5195,654214
Pais Basco,1483,13421,2207776
Rioxa,354,4033,316798
